candidate,score_variant,uses_eeg,control_type,variant_family,power,base_weight,seed_count,mean_protocol_gauc,std_protocol_gauc,mean_protocol_macro_user_auc,mean_protocol_global_auc,mean_event_transfer_gauc,mean_event_transfer_macro_user_auc,mean_event_transfer_global_auc,seed_beats_current_champion_rate,seed_hits_0p8_rate
V2H-local-real,margin_power0p25_base0p15,True,real_eeg,fine_power_base_grid,0.25,0.15,5,0.6718189171601396,0.007435060131567292,0.6762852443515268,0.6718189171601396,0.6685084732301652,0.6708127474377474,0.6019007102133138,1.0,0.0
V2H-local-real,margin_power0p15_base0p1,True,real_eeg,fine_power_base_grid,0.15,0.1,5,0.6669643208838119,0.00736467102146184,0.6719394105526701,0.6669643208838119,0.6669887584772627,0.6688886188400078,0.6049108154316271,1.0,0.0
V2H-local-real,margin_power0p2_base0p15,True,real_eeg,fine_power_base_grid,0.2,0.15,5,0.6662010457936142,0.006044410634034665,0.6710981033051497,0.6662010457936142,0.6669146003247464,0.6686777866093342,0.6059711800536185,1.0,0.0
V2H-local-real,margin_power0p1_base0p075,True,real_eeg,fine_power_base_grid,0.1,0.075,5,0.6628684565186008,0.006193232696404889,0.6681206395443213,0.6628684565186008,0.664132177175802,0.6657511203523108,0.6078404536516411,1.0,0.0
V2H-local-real,margin_power0p15_base0p15,True,real_eeg,fine_power_base_grid,0.15,0.15,5,0.6596374617227587,0.006274725663166712,0.6657061287030773,0.6596374617227587,0.661689941209503,0.6634646090975456,0.6125904553870954,1.0,0.0
V2H-local-real,margin_power0p1_base0p1,True,real_eeg,fine_power_base_grid,0.1,0.1,5,0.6592957978521796,0.00617067491859359,0.6653724668842963,0.6592957978521796,0.6616648535747648,0.6633117721490738,0.6137061983952827,1.0,0.0
V2H-local-real,margin_power0p1_base0p15,True,real_eeg,fine_power_base_grid,0.1,0.15,5,0.6509332569555368,0.008541919603876751,0.6610043854334083,0.6509332569555368,0.6551678457915868,0.6568841833871596,0.623232382362376,1.0,0.0
V2H-local-shuffle,margin_power0p1_base0p025,False,shuffle_eeg_control,fine_power_base_grid,0.1,0.025,5,0.6420800761939442,0.006417864799466399,0.6605290588861035,0.6420800761939442,0.6402836805265195,0.6434971044534536,0.6075488385021235,1.0,0.0
V2H-local-shuffle,margin_power0p15_base0p1,False,shuffle_eeg_control,fine_power_base_grid,0.15,0.1,5,0.6416216240793978,0.005654987712650642,0.6604418966472092,0.6416216240793978,0.6395621157994997,0.6441256116385085,0.6184744350891072,1.0,0.0
V2H-local-shuffle,margin_power0p2_base0p15,False,shuffle_eeg_control,fine_power_base_grid,0.2,0.15,5,0.6412755504709512,0.00537100655107584,0.660014673407486,0.6412755504709512,0.6396065625253831,0.6441686563730213,0.6194116003211073,1.0,0.0
