phase,split_version,config_id,fold,seed,candidate,uses_eeg,control_type,pairwise_c,pair_sample_rate,pair_cap,alignment_train_only,score_alignment,transfer_gauc,transfer_macro_user_auc,transfer_global_auc,transfer_valid_user_count,local_user_pair_gauc,local_pair_auc,local_user_macro_auc,local_pair_count
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_alpha_1p5,0.6169147952741703,0.6142728105228106,0.6232163930908701,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_alpha_2p0,0.6169147952741703,0.6142728105228106,0.6478203340128026,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_0p5,0.6169147952741703,0.6142728105228106,0.5133569359510781,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_1p0,0.6169147952741703,0.6142728105228106,0.6005078138969352,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_1p5,0.6169147952741703,0.6142728105228106,0.6566176733540751,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-shuffle,False,shuffle_eeg_control,0.3,0.35,3000,True,user_center_rate_beta_2p0,0.6169147952741703,0.6142728105228106,0.6852626685262668,26,0.6164383561643836,0.6164383561643836,0.6384615384615385,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,raw,0.6068454635642136,0.605826812076812,0.3278618174015664,26,0.6352739726027398,0.6352739726027398,0.628180846930847,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,fold_train_zscore,0.6068454635642136,0.605826812076812,0.3278618174015664,26,0.6352739726027398,0.6352739726027398,0.628180846930847,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_train_center,0.6068454635642136,0.605826812076812,0.43106962772234736,26,0.6352739726027398,0.6352739726027398,0.628180846930847,584
V2-J,protocol_a_rollv2_cv3,C0p3-sample0p35-cap3000,2,2026,V2H-local-real,True,real_eeg,0.3,0.35,3000,True,user_train_zscore,0.6068454635642136,0.605826812076812,0.42066301898937875,26,0.6352739726027398,0.6352739726027398,0.628180846930847,584
